股票代码,股票简称,现价(元),涨跌幅(%),"基金持股比例(%)2024.06.30",基金持股数量(股)2024.06.30,基金持股市值(元)2024.06.30,基金持股家数(家)2024.06.30,基金持股选股明细
605305.SH,中际联合,22.89,2.33,21.98,46714685.00,1204771726.15,240,--
688687.SH,凯因科技,19.44,-1.27,21.97,37551052.00,953445177.38,189,--
300662.SZ,科锐国际,12.80,-5.12,21.89,42962085.00,692978431.05,186,--
301269.SZ,华大九天,71.28,1.32,21.87,57359180.00,4419524819.00,350,--
601156.SH,东航物流,15.15,-5.25,21.85,175209522.00,3565513772.70,313,--
600422.SH,昆药集团,12.04,-0.17,21.84,165351045.00,2948209132.35,218,--
603283.SH,赛腾股份,53.75,-5.45,21.82,40589000.00,3100999600.00,338,--
300763.SZ,锦浪科技,63.20,-1.24,21.81,70118943.00,2919752786.52,283,--
300394.SZ,天孚通信,75.68,-1.47,21.77,120333300.00,10639870386.00,"1,036",--
688032.SH,禾迈股份,131.50,-0.89,21.77,13505968.00,1550215007.04,167,--
300573.SZ,兴齐眼药,69.85,-2.82,21.73,29113980.00,4774692720.00,352,--
002444.SZ,巨星科技,28.00,2.41,21.66,249306023.00,6157858768.10,508,--
688536.SH,思瑞浦,72.08,-2.81,21.64,28697719.00,2806923895.39,194,--
300017.SZ,网宿科技,6.55,0.31,21.54,490957104.00,3878561121.60,412,--
688210.SH,统联精密,17.68,-3.76,21.54,22758447.00,504099601.05,114,--
300593.SZ,新雷能,8.85,-0.90,21.46,96648385.00,960684956.84,109,--
603259.SH,药明康德,40.02,0.50,21.44,541367115.00,21216177236.85,606,--
603606.SH,东方电缆,47.83,1.98,21.39,147109658.00,7180422406.98,699,--
002833.SZ,弘亚数控,14.32,-0.28,21.37,52843154.00,963859128.96,213,--
300482.SZ,万孚生物,19.54,-2.45,21.32,65687623.00,1602778001.20,246,--
300751.SZ,迈为股份,74.16,-1.67,21.31,41162673.00,4918116170.04,437,--
688676.SH,金盘科技,29.55,2.14,21.30,97332990.00,5071321759.75,363,--
600993.SH,马应龙,21.73,-1.63,21.24,91380168.00,2437109080.56,246,--
002126.SZ,银轮股份,16.65,1.22,21.22,165137229.00,2875039156.89,395,--
002517.SZ,恺英网络,9.35,0.11,21.18,405499210.00,3872517455.50,478,--
002384.SZ,东山精密,19.16,-5.29,21.17,294388697.00,6093846027.90,801,--
688382.SH,益方生物,7.62,0.26,21.16,83858482.00,606296824.86,114,--
002332.SZ,仙琚制药,11.30,0.36,21.14,208076191.00,2374149339.31,296,--
002327.SZ,富安娜,7.55,2.44,21.02,101807666.00,1023167043.30,226,--
600761.SH,安徽合力,18.74,5.05,20.99,186747516.00,4041216246.24,570,--
000975.SZ,山金国际,16.18,-3.11,20.97,521492348.00,8495110348.92,926,--
688046.SH,药康生物,11.16,-0.27,20.85,42523961.00,434594881.42,109,--
301087.SZ,可孚医疗,30.34,-1.65,20.84,18871287.00,639736629.30,109,--
002262.SZ,恩华药业,24.42,-1.53,20.80,183393761.00,4353767886.14,385,--
002180.SZ,纳思达,22.50,-2.81,20.72,271318361.00,7168231097.62,374,--
688728.SH,格科微,10.32,-0.48,20.71,230751406.00,2794399526.66,229,--
002984.SZ,森麒麟,23.49,-0.34,20.63,143962493.00,3468056456.37,471,--
002155.SZ,湖南黄金,14.80,0.07,20.57,247202861.00,4474371784.10,399,--
688141.SH,杰华特,13.83,0.66,20.50,47842666.00,773137482.56,128,--
002756.SZ,永兴材料,31.53,-2.57,20.47,79575661.00,2847217150.58,324,--
603035.SH,常熟汽饰,12.34,-0.72,20.47,77787451.00,986344878.68,136,--
600529.SH,山东药玻,24.72,1.85,20.45,135738220.00,3439606494.80,446,--
688363.SH,华熙生物,44.97,-3.39,20.43,40488031.00,2290407913.67,177,--
002452.SZ,长高电新,7.24,3.73,20.42,105343030.00,872240296.68,161,--
002353.SZ,杰瑞股份,27.07,6.16,20.35,141079096.00,4949054687.68,571,--
301280.SZ,珠城科技,32.39,-0.37,20.33,5370112.00,208360345.60,71,--
300415.SZ,伊之密,18.13,-0.39,20.32,87081232.00,1809548000.96,291,--
688677.SH,海泰新光,26.08,1.36,20.21,24586066.00,964511369.18,172,--
600461.SH,洪城环境,8.64,-1.82,20.20,230803381.00,2672703163.56,290,--
688691.SH,灿芯股份,33.62,-1.12,20.19,4835682.00,258331320.55,198,--
301459.SZ,丰茂股份,31.80,-2.69,20.11,4024181.00,159800227.51,310,--
603279.SH,景津装备,16.03,-0.93,20.11,115044387.00,2495312754.03,272,--
688023.SH,安恒信息,28.03,-2.34,20.05,15767376.00,630852713.76,130,--
688598.SH,金博股份,14.94,-1.19,20.01,27546726.00,779572345.80,129,--
688123.SH,聚辰股份,44.00,0.21,19.98,31700565.00,1928345368.95,278,--
300054.SZ,鼎龙股份,18.76,0.48,19.93,145132033.00,3291594508.44,330,--
603507.SH,振江股份,21.19,-0.09,19.87,28215809.00,926042851.38,237,--
300529.SZ,健帆生物,24.90,0.48,19.86,103511387.00,2816544840.27,427,--
002100.SZ,天康生物,5.71,-3.38,19.78,270019538.00,1871235398.34,265,--
603383.SH,顶点软件,24.90,0.53,19.75,40213462.00,1289645726.34,176,--
603199.SH,九华旅游,33.14,1.47,19.72,21825535.00,650400943.00,185,--
603173.SH,福斯达,17.29,0.52,19.67,9746821.00,211603483.91,81,--
300833.SZ,浩洋股份,36.55,1.95,19.60,15925763.00,738955403.20,114,--
688599.SH,天合光能,16.04,-1.54,19.59,426914006.00,7223384981.52,376,--
