ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio,name
017679.OF,20240718,20240630,600519.SH,6749994.0,4600.0,4.72,0.0,国投瑞银精选收益C
001218.OF,20240718,20240630,600519.SH,6749994.0,4600.0,4.72,0.0,国投瑞银精选收益A
159862.SZ,20240718,20240630,600519.SH,5135865.0,3500.0,15.08,0.0,食品ETF
016699.OF,20240718,20240630,600519.SH,46472241.3,31670.0,4.69,0.0,易方达丰和C
002969.OF,20240718,20240630,600519.SH,46472241.3,31670.0,4.69,0.0,易方达丰和A
003839.OF,20240718,20240630,600519.SH,3521736.0,2400.0,4.96,0.0,易方达瑞通A
003840.OF,20240718,20240630,600519.SH,3521736.0,2400.0,4.96,0.0,易方达瑞通C
011542.OF,20240718,20240630,600519.SH,89510790.0,61000.0,11.42,0.0,鹏华远见回报三年持有
013027.OF,20240718,20240630,600519.SH,32869536.0,22400.0,9.3,0.0,银华富久食品饮料精选C
501209.SH,20240718,20240630,600519.SH,32869536.0,22400.0,9.3,0.0,富久食品饮料LOF
012225.OF,20240718,20240630,600519.SH,38469096.24,26216.0,4.06,0.0,嘉实优势精选A
012226.OF,20240718,20240630,600519.SH,38469096.24,26216.0,4.06,0.0,嘉实优势精选C
516600.SH,20240718,20240630,600519.SH,3668475.0,2500.0,4.77,0.0,消费服务ETF
007548.OF,20240718,20240630,600519.SH,32257634.37,21983.0,10.73,0.0,易方达ESG责任投资
012757.OF,20240718,20240630,600519.SH,15114117.0,10300.0,13.48,0.0,易方达中证龙头企业C
012756.OF,20240718,20240630,600519.SH,15114117.0,10300.0,13.48,0.0,易方达中证龙头企业A
003882.OF,20240718,20240630,600519.SH,3521736.0,2400.0,4.9,0.0,易方达瑞弘A
003883.OF,20240718,20240630,600519.SH,3521736.0,2400.0,4.9,0.0,易方达瑞弘C
003293.OF,20240718,20240630,600519.SH,76032812.85,51815.0,3.65,0.0,易方达科瑞
012785.OF,20240718,20240630,600519.SH,31402146.0,21400.0,4.16,0.0,鹏华品质精选A
012786.OF,20240718,20240630,600519.SH,31402146.0,21400.0,4.16,0.0,鹏华品质精选C
159517.SZ,20240718,20240630,600519.SH,880434.0,600.0,4.11,0.0,800增强ETF
510990.SH,20240718,20240630,600519.SH,3521736.0,2400.0,8.45,0.0,180ESGETF
007549.OF,20240718,20240630,600519.SH,70874937.0,48300.0,5.42,0.0,中泰开阳价值优选A
008112.OF,20240718,20240630,600519.SH,440217.0,300.0,0.88,0.0,中泰中证500指数增强A
008113.OF,20240718,20240630,600519.SH,440217.0,300.0,0.88,0.0,中泰中证500指数增强C
014140.OF,20240718,20240630,600519.SH,8804340.0,6000.0,6.54,0.0,易方达高质量增长量化精选C
014139.OF,20240718,20240630,600519.SH,8804340.0,6000.0,6.54,0.0,易方达高质量增长量化精选A
012017.OF,20240718,20240630,600519.SH,440217.0,300.0,3.2,0.0,国投瑞银和旭一年持有A
011805.OF,20240718,20240630,600519.SH,20103243.0,13700.0,5.05,0.0,嘉实优质核心两年持有A
011806.OF,20240718,20240630,600519.SH,20103243.0,13700.0,5.05,0.0,嘉实优质核心两年持有C
512380.SH,20240718,20240630,600519.SH,6779341.8,4620.0,4.96,0.0,MSCI中国ETF
161811.SZ,20240718,20240630,600519.SH,4437387.36,3024.0,5.29,0.0,沪深300LOF银华
003378.OF,20240718,20240630,600519.SH,70434720.0,48000.0,6.7,0.0,泰康策略优选
159592.SZ,20240718,20240630,600519.SH,348521266.29,237511.0,9.1,0.02,A50ETF基金
017767.OF,20240718,20240630,600519.SH,33625241.85,22915.0,7.78,0.0,嘉实欣荣C
008286.OF,20240718,20240630,600519.SH,403062685.2,274680.0,9.17,0.02,易方达研究精选
008238.OF,20240718,20240630,600519.SH,14458193.67,9853.0,5.91,0.0,中泰沪深300指数增强A
008239.OF,20240718,20240630,600519.SH,14458193.67,9853.0,5.91,0.0,中泰沪深300指数增强C
015265.OF,20240718,20240630,600519.SH,4989126.0,3400.0,32.09,0.0,中泰星汇平衡三个月持有C
015264.OF,20240718,20240630,600519.SH,4989126.0,3400.0,32.09,0.0,中泰星汇平衡三个月持有A
001382.OF,20240718,20240630,600519.SH,94033285.98,64082.0,10.71,0.01,易方达国企改革
012018.OF,20240718,20240630,600519.SH,440217.0,300.0,3.2,0.0,国投瑞银和旭一年持有C
008726.OF,20240718,20240630,600519.SH,440217.0,300.0,4.32,0.0,平安添裕A
008727.OF,20240718,20240630,600519.SH,440217.0,300.0,4.32,0.0,平安添裕C
013534.OF,20240718,20240630,600519.SH,32429319.0,22100.0,3.82,0.0,鹏华沃鑫A
013535.OF,20240718,20240630,600519.SH,32429319.0,22100.0,3.82,0.0,鹏华沃鑫C
005014.OF,20240718,20240630,600519.SH,26413020.0,18000.0,8.08,0.0,泰康景泰回报A
009265.OF,20240718,20240630,600519.SH,333443834.04,227236.0,9.2,0.02,易方达消费精选
009215.OF,20240718,20240630,600519.SH,7630428.0,5200.0,4.74,0.0,易方达瑞川A
009216.OF,20240718,20240630,600519.SH,7630428.0,5200.0,4.74,0.0,易方达瑞川C
