ts_code,symbol,name,industry,market,list_date,circ_mv
002602.SZ,002602,世纪华通,互联网,主板,2011-07-28,2325740.194
002603.SZ,002603,以岭药业,中成药,主板,2011-07-28,2116763.991
002605.SZ,002605,姚记科技,互联网,主板,2011-08-05,690294.5217
002606.SZ,002606,大连电瓷,电气设备,主板,2011-08-05,343651.9169
002607.SZ,002607,中公教育,文教休闲,主板,2011-08-10,995691.3744
002608.SZ,002608,江苏国信,火力发电,主板,2011-08-10,2569094.1987
002609.SZ,002609,捷顺科技,软件服务,主板,2011-08-15,322962.1305
002611.SZ,002611,东方精工,轻工机械,主板,2011-08-30,531368.3449
002612.SZ,002612,朗姿股份,服饰,主板,2011-08-30,330868.4955
002617.SZ,002617,露笑科技,电气设备,主板,2011-09-20,1081911.5519
002624.SZ,002624,完美世界,互联网,主板,2011-10-28,1396099.424
002625.SZ,002625,光启技术,航空,主板,2011-11-03,3071038.9421
002626.SZ,002626,金达威,医疗保健,主板,2011-10-28,827559.3542
002627.SZ,002627,三峡旅游,旅游景点,主板,2011-11-03,326309.969
002632.SZ,002632,道明光学,塑料,主板,2011-11-22,441408.0084
002635.SZ,002635,安洁科技,元器件,主板,2011-11-25,527855.0511
002636.SZ,002636,金安国纪,元器件,主板,2011-11-25,495442.0052
002637.SZ,002637,赞宇科技,日用化工,主板,2011-11-25,361704.8136
002639.SZ,002639,雪人股份,专用机械,主板,2011-12-05,355868.2479
002641.SZ,002641,公元股份,塑料,主板,2011-12-08,447927.8879
002642.SZ,002642,荣联科技,软件服务,主板,2011-12-20,368345.7482
002643.SZ,002643,万润股份,化工原料,主板,2011-12-20,768143.0743
002644.SZ,002644,佛慈制药,中成药,主板,2011-12-22,337544.277
002645.SZ,002645,华宏科技,专用机械,主板,2011-12-20,320205.7313
002646.SZ,002646,天佑德酒,白酒,主板,2011-12-22,410656.0513
002648.SZ,002648,卫星化学,化工原料,主板,2011-12-28,5120278.034
002649.SZ,002649,博彦科技,软件服务,主板,2012-01-06,447693.8059
002653.SZ,002653,海思科,化学制药,主板,2012-01-17,1613491.3046
002654.SZ,002654,万润科技,互联网,主板,2012-02-17,792837.5063
002655.SZ,002655,共达电声,元器件,主板,2012-02-17,372127.1131
002657.SZ,002657,中科金财,软件服务,主板,2012-02-28,369970.9465
