ts_code,MA120,MA250,PC120,PC250,250RPS_Rank,250RPS,120RPS_Rank,120RPS
603986.SH,82.05,86.05,-0.00737,-0.23506,1905.0,60.71,917.0,81.1
603987.SH,6.9,8.27,-0.18134,-0.41115,3674.0,24.21,2911.0,39.95
603988.SH,9.37,9.73,0.25128,-0.02871,673.0,86.13,119.0,97.57
603989.SH,14.47,17.67,-0.3058,-0.44366,3934.0,18.84,4056.0,16.32
603990.SH,9.41,11.16,-0.24151,-0.42519,3805.0,21.5,3533.0,27.12
603991.SH,33.14,37.1,-0.04611,0.03993,487.0,89.97,1220.0,74.85
603992.SH,17.62,16.82,0.05791,0.22938,215.0,95.58,536.0,88.96
603993.SH,8.17,6.8,0.12085,0.3156,151.0,96.9,342.0,92.96
603995.SH,17.74,18.68,0.01372,-0.20732,1658.0,65.81,768.0,84.17
603997.SH,11.75,12.61,-0.14692,-0.22502,1806.0,62.75,2422.0,50.04
603998.SH,11.17,10.69,0.1556,0.29556,164.0,96.64,243.0,95.01
